,Maker,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range
0,Tata,Nano Genx,Xt,292667,624,20,20,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24,Petrol,1652,3164,1750,Hatchback,5.0,236,N/A,236,N/A,660,4,180,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,135/70R12,155/65R12,Electric Power,Only Front Windows,N/A,Remote,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230 mm,4 B X 12,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,110 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,00,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,Tata,Nano Genx,Xe,236447,624,20,20,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24,Petrol,1652,3164,1750,Hatchback,5.0,236,N/A,236,N/A,725,4,180,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,135/70R12,155/65R12,N/A,N/A,N/A,N/A,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230 mm,4 B X 12,N/A,Yes,Not on offer,N/A,Yes,2 years /75000 Kms (years/distance whichever comes first),N/A,Internal,110 litres,N/A,N/A,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),N/A,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,00,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,Tata,Nano Genx,Emax Xm,296661,624,20,20,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,15,CNG,1652,3164,1750,Hatchback,4.0,0,N/A,0,36 km/kg,710,4,180,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,135/70R12,155/65R12,Electric Power,N/A,N/A,N/A,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230 mm,4 B X 12,N/A,Yes,Not on offer,N/A,Yes,2 years /75000 Kms (years/distance whichever comes first),N/A,Internal,110 litres,N/A,N/A,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),N/A,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,00,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,Tata,Nano Genx,Xta,334768,624,20,20,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24,Petrol,1652,3164,1750,Hatchback,5.0,236,N/A,219,N/A,725,5,180,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,135/70R12,155/65R12,Electric Power,Only Front Windows,N/A,Remote,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Automatic,2230 mm,4 B X 12,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years /75000 Kms (years/distance whichever comes first),Yes,Internal,94 litres,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,00,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,Tata,Nano Genx,Xm,272223,624,20,20,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24,Petrol,1652,3164,1750,Hatchback,5.0,236,N/A,236,N/A,725,4,180,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,135/70R12,155/65R12,Electric Power,N/A,N/A,N/A,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Manual,2230 mm,4 B X 12,N/A,Yes,Not on offer,N/A,Yes,2 years /75000 Kms (years/distance whichever comes first),N/A,Internal,110 litres,N/A,N/A,Yes,Digital,Front,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),N/A,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,00,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,Tata,Nano Genx,Xma,314815,624,20,20,RWD (Rear Wheel Drive),In-line,BS IV,"Rear, Transverse",Injection,24,Petrol,1652,3164,1750,Hatchback,5.0,236,N/A,219,N/A,710,5,180,Drum,Drum,"Independent, Lower Wishbone, McPherson Strut with gas filled dampers and anti-roll bar","Independent, Semi Trailing arm with coil spring & gas filled shock absorbers",1325,1315,135/70R12,155/65R12,Electric Power,N/A,N/A,N/A,38PS@5500rpm,51Nm@4000rpm,Digital,Analog,Not on offer,Yes,4.0,Fabric,Automatic,2230 mm,4 B X 12,N/A,Yes,Not on offer,N/A,Yes,2 years /75000 Kms (years/distance whichever comes first),N/A,Internal,94 litres,N/A,N/A,Yes,Digital,Not on offer,Yes,Front,Yes,2 years /150000 Kms (years/distance whichever comes first),N/A,Internal,Digital,Manual,Analog + Digital,Yes,4 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,Yes,N/A,N/A,N/A,00,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,Datsun,Redi-Go,D,279650,799,30,40,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,Petrol,1541,3429,1560,Hatchback,5.0,2138,24 km/litre,2517,N/A,0,5,185,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,0,0,80/155R13,80/155R13,N/A,N/A,N/A,N/A,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348 mm,80/155R13,N/A,Yes,Not on offer,N/A,Yes,2 years / Unlimited Kms,N/A,Internal,222 litres,N/A,N/A,Yes,N/A,Not on offer,Yes,N/A,Yes,2 Years/Unlimited Kms (Whichever comes earlier),N/A,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,00,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,Datsun,Redi-Go,T,351832,799,30,40,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,Petrol,1541,3429,1560,Hatchback,5.0,2138,24 km/litre,2517,N/A,0,5,185,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,0,0,80/155R13,80/155R13,Electric Power,Only Front Windows,N/A,N/A,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348 mm,80/155R13,N/A,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,N/A,Internal,222 litres,Yes,Yes,Yes,N/A,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,0,N/A,N/A,N/A,N/A,N/A,00,0,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,Datsun,Redi-Go,A,333419,799,30,40,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,Petrol,1541,3429,1560,Hatchback,5.0,2138,24 km/litre,2517,N/A,0,5,185,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,0,0,80/155R13,80/155R13,Electric Power,N/A,N/A,N/A,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348 mm,80/155R13,N/A,Yes,Not on offer,N/A,Yes,2 years / Unlimited Kms,N/A,Internal,222 litres,N/A,N/A,Yes,N/A,Front,Yes,Front,Yes,2 Years/Unlimited Kms (Whichever comes earlier),N/A,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,0,N/A,N/A,N/A,N/A,N/A,00,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,Datsun,Redi-Go,S,362000,799,30,40,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,28,Petrol,1541,3429,1560,Hatchback,5.0,2138,24 km/litre,2517,N/A,0,5,185,Ventilated Disc,Drum,Double Pivot Arm,H-type Torsion Beam,0,0,80/155R13,80/155R13,Electric Power,N/A,N/A,N/A,54PS@5678rpm,72Nm@4386rpm,Digital,Analog,Digital,Yes,5.0,Fabric,Manual,2348 mm,80/155R13,N/A,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,N/A,"With Remote, Internal",222 litres,Yes,N/A,Yes,N/A,Not on offer,Yes,N/A,Yes,2 Years/Unlimited Kms (Whichever comes earlier),Yes,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,00,0,N/A,N/A,N/A,Rear sensors,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
